Participant,Label,GSR Mean,GSR SD,ID,Quad_Cat,POST_Valence,POST_Arousal
115,3,5.83995643809403,0.5484305289924631,115,3,3.6666666666666665,6.333333333333333
116,0,10.458531866681946,0.5897160497901645,116,0,6.0,2.6666666666666665
116,1,11.381738564875043,0.718317554924233,116,1,6.666666666666667,3.6666666666666665
116,2,8.297271463062405,0.50993917389032,116,2,2.0,4.0
116,3,9.693469367790428,0.5315874726927986,116,3,4.333333333333333,5.666666666666667
117,0,12.582061375070422,1.1041799801930468,117,0,5.333333333333333,1.6666666666666667
117,1,8.713517602025567,0.36769041560888716,117,1,5.0,1.0
117,2,10.05588766819339,0.4017683300032764,117,2,3.0,2.6666666666666665
117,3,10.917773333783297,0.9035660097890634,117,3,3.0,4.0
118,0,6.164796907564477,0.3243912810114547,118,0,6.0,2.0
118,1,5.9201738882451975,0.2588577103105077,118,1,8.333333333333334,2.3333333333333335
118,2,6.235564326419379,0.3451187490297796,118,2,2.0,1.0
118,3,9.184030014178315,0.626201856391122,118,3,2.6666666666666665,7.0
119,0,2.044123466653653e-06,0.10992512842888837,119,0,6.0,4.666666666666667
119,1,1.3458322145274966e-06,0.12154497985686413,119,1,6.666666666666667,3.6666666666666665
119,2,-1.1996461152022432e-05,0.12248367984986347,119,2,4.333333333333333,3.6666666666666665
119,3,-8.622048379307911e-06,0.11295378285955383,119,3,3.0,6.666666666666667
120,0,10.040966585816479,0.7653635973902336,120,0,7.0,4.333333333333333
120,1,8.366919302929082,0.5488705443087172,120,1,8.333333333333334,2.6666666666666665
120,2,10.588565480729889,0.6467031025044024,120,2,3.0,2.6666666666666665
120,3,13.164793385739415,1.2192043244909216,120,3,3.6666666666666665,5.0
121,0,6.480026311387046,0.3947618278258019,121,0,6.333333333333333,5.333333333333333
121,1,4.548056936658321,0.08951412278494482,121,1,5.333333333333333,4.0
121,2,4.20137561686951,0.10435075646171343,121,2,3.6666666666666665,4.666666666666667
121,3,7.016337760223226,0.5823732564695919,121,3,8.0,7.0
122,0,7.5006406162022285,0.1747733976871443,122,0,7.666666666666667,6.666666666666667
122,1,8.31253873476998,0.20009984245890136,122,1,6.0,2.3333333333333335
122,2,9.098929467149853,0.2308563025296695,122,2,2.0,2.3333333333333335
122,3,11.515955875173129,0.7566665822864556,122,3,7.0,7.0
123,0,6.950306661691054,0.20861991829176874,123,0,6.333333333333333,1.6666666666666667
123,1,8.261592724650555,0.5862254743567867,123,1,7.333333333333333,1.3333333333333333
123,2,6.236514507154929,0.2569790138781521,123,2,3.6666666666666665,1.0
123,3,8.673980195686008,0.5717330668786539,123,3,4.666666666666667,4.333333333333333
124,0,19.7214046674134,0.6454470491185398,124,0,8.0,7.333333333333333
124,1,18.916961724459597,0.920961525487279,124,1,7.333333333333333,3.6666666666666665
124,2,18.047468391330536,0.6395359037577686,124,2,1.6666666666666667,3.3333333333333335
124,3,17.81801162598719,1.063307150074244,124,3,5.333333333333333,7.0
125,0,11.735175979986897,0.4136381130118383,125,0,6.333333333333333,2.0
125,1,9.889845967575843,0.24994366762329231,125,1,6.0,1.0
125,2,8.852161800403836,0.22543402925427913,125,2,2.6666666666666665,2.6666666666666665
125,3,13.209531606769723,0.512772644841876,125,3,3.6666666666666665,7.0
126,0,13.432400763433336,0.5184954213704772,126,0,6.0,3.6666666666666665
126,1,13.50858888810354,0.4274335676617738,126,1,7.0,6.0
126,2,12.874542279748217,1.1807605038686806,126,2,2.6666666666666665,6.333333333333333
126,3,15.820324162457807,1.0598564641197254,126,3,2.6666666666666665,7.0
127,0,8.546599941758315,0.1269320955943486,127,0,5.666666666666667,1.6666666666666667
127,1,8.195985316251011,0.24309113493631387,127,1,6.333333333333333,2.0
127,2,10.213836890101367,0.4590240180872395,127,2,2.3333333333333335,3.6666666666666665
127,3,9.867363377967882,0.5037330460545266,127,3,2.3333333333333335,6.0
128,0,12.0965860902483,0.5661269070684355,128,0,5.666666666666667,2.3333333333333335
128,1,13.189847595114566,0.7861356498783838,128,1,6.333333333333333,2.3333333333333335
128,2,10.892126769539724,0.7935682275312418,128,2,2.0,1.3333333333333333
128,3,14.692563724505092,0.9049313129868256,128,3,4.666666666666667,6.666666666666667
129,0,6.384963567681232,1.1388827553783625,129,0,5.666666666666667,2.0
129,1,6.409539896452941,0.891912757412464,129,1,6.333333333333333,3.3333333333333335
129,2,2.3909752772329687,0.038893155252111365,129,2,2.0,4.333333333333333
129,3,13.98732149400911,2.4030543270598614,129,3,3.6666666666666665,7.666666666666667
130,0,19.93634924069066,1.3418399322989123,130,0,,
130,1,21.634173673244746,1.1661875534830661,130,1,,
130,2,21.174971481671943,1.2554041146862944,130,2,4.666666666666667,3.3333333333333335
131,0,7.293305848662249,0.24331266677923016,131,0,7.0,8.333333333333334
131,1,6.372457202623398,0.14375617074887204,131,1,6.333333333333333,3.0
131,2,7.359614648099739,0.33385675236589546,131,2,1.0,6.666666666666667
131,3,7.8578583610695825,0.33801137186050073,131,3,3.6666666666666665,4.0
132,0,11.163135801852363,0.8364803836804896,132,0,5.666666666666667,5.333333333333333
132,1,11.054996290934232,1.394943034676304,132,1,6.0,1.6666666666666667
132,2,8.577235124466167,1.2766971252929467,132,2,2.0,3.0
132,3,12.243979506171447,1.6485388459698964,132,3,4.0,7.333333333333333
133,0,8.60214693230872,0.4762721041903331,133,0,7.333333333333333,7.0
133,1,7.902785668693899,0.6415420980128661,133,1,6.0,1.3333333333333333
133,2,10.544130121144805,0.5890761828559273,133,2,4.333333333333333,2.6666666666666665
133,3,16.085986167747905,0.9596764389502018,133,3,6.0,5.333333333333333
